Metric,Model,Baseline,Model_Score,Diff,p-value,Cohen's d,95% CI,CI_Sig,Sig
test_BLEU_1,CONCH,0.7394 ± 0.0426,0.7231 ± 0.0226,0.0163,0.4382,0.3847,"[-0.0157, 0.0493]",✗,ns
test_BLEU_1,UNI,0.7394 ± 0.0426,0.7207 ± 0.0320,0.0187,0.4351,0.3875,"[-0.0207, 0.0542]",✗,ns
test_BLEU_1,UNI2,0.7394 ± 0.0426,0.7402 ± 0.0276,-0.0009,0.9684,-0.0189,"[-0.0349, 0.0332]",✗,ns
test_BLEU_2,CONCH,0.7034 ± 0.0408,0.6852 ± 0.0222,0.0181,0.3691,0.4523,"[-0.0120, 0.0507]",✗,ns
test_BLEU_2,UNI,0.7034 ± 0.0408,0.6831 ± 0.0316,0.0202,0.3828,0.4380,"[-0.0171, 0.0543]",✗,ns
test_BLEU_2,UNI2,0.7034 ± 0.0408,0.7018 ± 0.0292,0.0016,0.9403,0.0356,"[-0.0325, 0.0345]",✗,ns
test_BLEU_3,CONCH,0.6703 ± 0.0375,0.6512 ± 0.0215,0.0191,0.3129,0.5160,"[-0.0085, 0.0487]",✗,ns
test_BLEU_3,UNI,0.6703 ± 0.0375,0.6495 ± 0.0301,0.0207,0.3413,0.4826,"[-0.0137, 0.0525]",✗,ns
test_BLEU_3,UNI2,0.6703 ± 0.0375,0.6675 ± 0.0302,0.0027,0.8913,0.0651,"[-0.0278, 0.0333]",✗,ns
test_BLEU_4,CONCH,0.6428 ± 0.0342,0.6238 ± 0.0209,0.0190,0.2808,0.5572,"[-0.0061, 0.0469]",✗,ns
test_BLEU_4,UNI,0.6428 ± 0.0342,0.6220 ± 0.0288,0.0207,0.3105,0.5188,"[-0.0121, 0.0504]",✗,ns
test_BLEU_4,UNI2,0.6428 ± 0.0342,0.6396 ± 0.0310,0.0032,0.8657,0.0806,"[-0.0250, 0.0326]",✗,ns
test_METEOR,CONCH,0.4666 ± 0.0222,0.4540 ± 0.0144,0.0127,0.2805,0.5575,"[-0.0030, 0.0307]",✗,ns
test_METEOR,UNI,0.4666 ± 0.0222,0.4504 ± 0.0203,0.0162,0.1576,0.7763,"[-0.0009, 0.0314]",✗,ns
test_METEOR,UNI2,0.4666 ± 0.0222,0.4635 ± 0.0195,0.0031,0.8213,0.1078,"[-0.0220, 0.0241]",✗,ns
test_ROUGE_L,CONCH,0.7600 ± 0.0246,0.6994 ± 0.0201,0.0606,0.002647,2.9764,"[0.0466, 0.0773]",✓,**
test_ROUGE_L,UNI,0.7600 ± 0.0246,0.6936 ± 0.0223,0.0664,0.004411,2.5912,"[0.0470, 0.0849]",✓,**
test_ROUGE_L,UNI2,0.7600 ± 0.0246,0.7141 ± 0.0262,0.0459,0.04952,1.2459,"[0.0179, 0.0738]",✓,*
